Area,Country,Measure Names,Quarter,Rectangle,Regulated gear,Special condition,Species,Vessel length,Year,Measure Values
7BCEFGHJK,IRL,Landings (t) ,4,34D8,TR2,NONE,COD,O15M,2014,0.07
7BCEFGHJK,FRA,Landings (t) ,4,34D8,TR2,NONE,COD,O15M,2014,0.33694
7BCEFGHJK,IRL,Landings (t) ,4,34D8,TR1,NONE,COD,O15M,2014,0.44
7BCEFGHJK,FRA,Landings (t) ,4,34D8,TR1,NONE,COD,O15M,2014,0.31584
7BCEFGHJK,ENG,Landings (t) ,4,34D8,TR1,NONE,COD,O15M,2014,0.0485
7BCEFGHJK,IRL,Landings (t) ,4,34D7,TR2,NONE,COD,O15M,2014,0.04
7BCEFGHJK,FRA,Landings (t) ,4,34D7,TR2,NONE,COD,O15M,2014,1.08179
7BCEFGHJK,IRL,Landings (t) ,4,34D7,TR1,NONE,COD,O15M,2014,0.17
7BCEFGHJK,FRA,Landings (t) ,4,34D7,TR1,NONE,COD,O15M,2014,0.4083
7BCEFGHJK,FRA,Landings (t) ,4,34D7,OTTER,NONE,COD,O15M,2014,0.00414
7BCEFGHJK,FRA,Landings (t) ,4,34D6,TR2,NONE,COD,O15M,2014,0.00648
7BCEFGHJK,FRA,Landings (t) ,4,34D6,TR1,NONE,COD,O15M,2014,0.00549
7BCEFGHJK,FRA,Landings (t) ,4,34D6,LL1,NONE,COD,O15M,2014,0.08894
7BCEFGHJK,FRA,Landings (t) ,4,34D5,TR2,NONE,COD,O15M,2014,0.01669
7BCEFGHJK,FRA,Landings (t) ,4,33D9,TR2,NONE,COD,O15M,2014,0.00078
7BCEFGHJK,IRL,Landings (t) ,4,33D9,TR1,NONE,COD,O15M,2014,0.03
7BCEFGHJK,FRA,Landings (t) ,4,33D9,TR1,NONE,COD,O15M,2014,0.0146
7BCEFGHJK,IRL,Landings (t) ,4,33D9,GN1,NONE,COD,O10T15M,2014,0.06
7BCEFGHJK,FRA,Landings (t) ,4,33D8,TR2,NONE,COD,O15M,2014,0.86629
7BCEFGHJK,IRL,Landings (t) ,4,33D8,TR1,NONE,COD,O15M,2014,0.9
7BCEFGHJK,FRA,Landings (t) ,4,33D8,TR1,NONE,COD,O15M,2014,0.62386
7BCEFGHJK,ENG,Landings (t) ,4,33D8,TR1,NONE,COD,O15M,2014,0.0565
7BCEFGHJK,FRA,Landings (t) ,4,33D8,OTTER,NONE,COD,O15M,2014,0.00521
7BCEFGHJK,FRA,Landings (t) ,4,33D7,TR2,NONE,COD,O15M,2014,0.02113
7BCEFGHJK,IRL,Landings (t) ,4,33D7,TR1,NONE,COD,O15M,2014,0.04
7BCEFGHJK,FRA,Landings (t) ,4,33D7,TR1,NONE,COD,O15M,2014,0.02255
7BCEFGHJK,FRA,Landings (t) ,4,33D7,OTTER,NONE,COD,O15M,2014,0.00172
7BCEFGHJK,ENG,Landings (t) ,4,32E6,GN1,NONE,COD,U10M,2014,0.0065
7BCEFGHJK,ENG,Landings (t) ,4,32E5,TR2,NONE,COD,U10M,2014,0.6101
7BCEFGHJK,ENG,Landings (t) ,4,32E5,LL1,NONE,COD,U10M,2014,0.0415
7BCEFGHJK,ENG,Landings (t) ,4,32E5,GN1,NONE,COD,U10M,2014,0.3765
7BCEFGHJK,ENG,Landings (t) ,4,32E5,DREDGE,NONE,COD,U10M,2014,0.0344
7BCEFGHJK,IRL,Landings (t) ,4,32E4,TR2,NONE,COD,O15M,2014,0.08
7BCEFGHJK,IRL,Landings (t) ,4,32E4,TR1,NONE,COD,O15M,2014,0.22
7BCEFGHJK,FRA,Landings (t) ,4,32E4,TR1,NONE,COD,O15M,2014,8.4547
7BCEFGHJK,ENG,Landings (t) ,4,32E4,GN1,NONE,COD,U10M,2014,0.7385
7BCEFGHJK,ENG,Landings (t) ,4,32E4,GN1,NONE,COD,O10T15M,2014,0.0962
7BCEFGHJK,ENG,Landings (t) ,4,32E4,BT2,NONE,COD,O15M,2014,0.0065
7BCEFGHJK,BEL,Landings (t) ,4,32E4,BT2,NONE,COD,O15M,2014,0.048
7BCEFGHJK,IRL,Landings (t) ,4,32E3,TR2,NONE,COD,O15M,2014,3.55
7BCEFGHJK,NIR,Landings (t) ,4,32E3,TR1,NONE,COD,O15M,2014,0.4664
7BCEFGHJK,IRL,Landings (t) ,4,32E3,TR1,NONE,COD,O15M,2014,3.62
7BCEFGHJK,FRA,Landings (t) ,4,32E3,TR1,NONE,COD,O15M,2014,6.627
7BCEFGHJK,IRL,Landings (t) ,4,32E3,GN1,NONE,COD,O15M,2014,0.05
7BCEFGHJK,ENG,Landings (t) ,4,32E3,GN1,NONE,COD,O10T15M,2014,0.4332
7BCEFGHJK,IRL,Landings (t) ,4,32E3,BT2,NONE,COD,O15M,2014,2.32
7BCEFGHJK,BEL,Landings (t) ,4,32E3,BT2,NONE,COD,O15M,2014,0.021
7BCEFGHJK,IRL,Landings (t) ,4,32E2,TR2,NONE,COD,O15M,2014,1.32
7BCEFGHJK,IRL,Landings (t) ,4,32E2,TR2,NONE,COD,O10T15M,2014,0.17
7BCEFGHJK,IRL,Landings (t) ,4,32E2,TR1,NONE,COD,O15M,2014,6.85
7BCEFGHJK,FRA,Landings (t) ,4,32E2,TR1,NONE,COD,O15M,2014,2.00112
7BCEFGHJK,IRL,Landings (t) ,4,32E2,TR1,NONE,COD,O10T15M,2014,0.08
7BCEFGHJK,IRL,Landings (t) ,4,32E2,OTTER,NONE,COD,O15M,2014,0.17
7BCEFGHJK,IRL,Landings (t) ,4,32E2,GN1,NONE,COD,O15M,2014,0.05
7BCEFGHJK,IRL,Landings (t) ,4,32E2,GN1,NONE,COD,O10T15M,2014,0.75
7BCEFGHJK,IRL,Landings (t) ,4,32E2,BT2,NONE,COD,O15M,2014,7.45
7BCEFGHJK,IRL,Landings (t) ,4,32E1,TR2,NONE,COD,O15M,2014,0.32
7BCEFGHJK,IRL,Landings (t) ,4,32E1,TR2,NONE,COD,O10T15M,2014,0.4
7BCEFGHJK,IRL,Landings (t) ,4,32E1,TR1,NONE,COD,O15M,2014,2.05
7BCEFGHJK,FRA,Landings (t) ,4,32E1,TR1,NONE,COD,O15M,2014,0.10582
7BCEFGHJK,IRL,Landings (t) ,4,32E1,TR1,NONE,COD,O10T15M,2014,1.22
7BCEFGHJK,IRL,Landings (t) ,4,32E1,GN1,NONE,COD,O10T15M,2014,0.31
7BCEFGHJK,IRL,Landings (t) ,4,32E1,BT2,NONE,COD,O15M,2014,0.28
7BCEFGHJK,IRL,Landings (t) ,4,32E0,TR2,NONE,COD,O10T15M,2014,0.08
7BCEFGHJK,IRL,Landings (t) ,4,32E0,TR1,NONE,COD,O15M,2014,0.12
7BCEFGHJK,IRL,Landings (t) ,4,32E0,BT2,NONE,COD,O15M,2014,0.08
7BCEFGHJK,IRL,Landings (t) ,4,32D9,TR2,NONE,COD,O15M,2014,0.07
7BCEFGHJK,FRA,Landings (t) ,4,32D9,TR2,NONE,COD,O15M,2014,0.05172
7BCEFGHJK,IRL,Landings (t) ,4,32D9,TR1,NONE,COD,O15M,2014,1.98
7BCEFGHJK,FRA,Landings (t) ,4,32D9,TR1,NONE,COD,O15M,2014,0.03594
7BCEFGHJK,IRL,Landings (t) ,4,32D9,TR1,NONE,COD,O10T15M,2014,0.07
7BCEFGHJK,IRL,Landings (t) ,4,32D9,GN1,NONE,COD,O15M,2014,0.07
7BCEFGHJK,IRL,Landings (t) ,4,32D9,GN1,NONE,COD,O10T15M,2014,0.03
7BCEFGHJK,FRA,Landings (t) ,4,32D8,TR2,NONE,COD,O15M,2014,0.66579
7BCEFGHJK,ENG,Landings (t) ,4,32D8,TR2,NONE,COD,O15M,2014,0.085
7BCEFGHJK,IRL,Landings (t) ,4,32D8,TR1,NONE,COD,O15M,2014,0.4
7BCEFGHJK,FRA,Landings (t) ,4,32D8,TR1,NONE,COD,O15M,2014,0.65504
7BCEFGHJK,ENG,Landings (t) ,4,32D8,TR1,NONE,COD,O15M,2014,0.2205
7BCEFGHJK,FRA,Landings (t) ,4,32D8,OTTER,NONE,COD,O15M,2014,0.00241
7BCEFGHJK,IRL,Landings (t) ,4,32D8,GN1,NONE,COD,O15M,2014,0.09
7BCEFGHJK,ENG,Landings (t) ,4,31E6,TR2,NONE,COD,U10M,2014,0.0078
7BCEFGHJK,ENG,Landings (t) ,4,31E6,TR1,NONE,COD,U10M,2014,0.0129
7BCEFGHJK,ENG,Landings (t) ,4,31E6,GN1,NONE,COD,U10M,2014,0.3598
7BCEFGHJK,ENG,Landings (t) ,4,31E5,TR2,NONE,COD,U10M,2014,2.7161
7BCEFGHJK,ENG,Landings (t) ,4,31E5,TR1,NONE,COD,U10M,2014,1.2041
7BCEFGHJK,IRL,Landings (t) ,4,31E5,TR1,NONE,COD,O15M,2014,0.08
7BCEFGHJK,FRA,Landings (t) ,4,31E5,TR1,NONE,COD,O15M,2014,0.00146
7BCEFGHJK,ENG,Landings (t) ,4,31E5,LL1,NONE,COD,U10M,2014,0.5334
7BCEFGHJK,ENG,Landings (t) ,4,31E5,GN1,NONE,COD,U10M,2014,1.3837
7BCEFGHJK,BEL,Landings (t) ,4,31E5,BT2,NONE,COD,O15M,2014,0.221
7BCEFGHJK,IRL,Landings (t) ,4,31E4,TR2,NONE,COD,O15M,2014,0.3
7BCEFGHJK,BEL,Landings (t) ,4,31E4,TR2,NONE,COD,O15M,2014,0.171
7BCEFGHJK,IRL,Landings (t) ,4,31E4,TR1,NONE,COD,O15M,2014,0.25
7BCEFGHJK,FRA,Landings (t) ,4,31E4,TR1,NONE,COD,O15M,2014,1.00276
7BCEFGHJK,ENG,Landings (t) ,4,31E4,GN1,NONE,COD,O10T15M,2014,0.427
7BCEFGHJK,ENG,Landings (t) ,4,31E4,BT2,NONE,COD,O15M,2014,0.0066
7BCEFGHJK,BEL,Landings (t) ,4,31E4,BT2,NONE,COD,O15M,2014,0.798
7BCEFGHJK,IRL,Landings (t) ,4,31E3,TR2,NONE,COD,O15M,2014,20.77
7BCEFGHJK,NIR,Landings (t) ,4,31E3,TR1,NONE,COD,O15M,2014,0.0468
7BCEFGHJK,IRL,Landings (t) ,4,31E3,TR1,NONE,COD,O15M,2014,26.25
7BCEFGHJK,FRA,Landings (t) ,4,31E3,TR1,NONE,COD,O15M,2014,11.91822
7BCEFGHJK,IRL,Landings (t) ,4,31E3,TR1,NONE,COD,O10T15M,2014,0.36
7BCEFGHJK,IRL,Landings (t) ,4,31E3,NONE,NONE,COD,O15M,2014,0.72
7BCEFGHJK,IRL,Landings (t) ,4,31E3,GN1,NONE,COD,O15M,2014,0.16
7BCEFGHJK,IRL,Landings (t) ,4,31E3,BT2,NONE,COD,O15M,2014,8.63
7BCEFGHJK,BEL,Landings (t) ,4,31E3,BT2,NONE,COD,O15M,2014,0.006
7BCEFGHJK,IRL,Landings (t) ,4,31E2,TR2,NONE,COD,O15M,2014,0.87
7BCEFGHJK,NIR,Landings (t) ,4,31E2,TR1,NONE,COD,O15M,2014,0.2106
7BCEFGHJK,IRL,Landings (t) ,4,31E2,TR1,NONE,COD,O15M,2014,17.6
7BCEFGHJK,FRA,Landings (t) ,4,31E2,TR1,NONE,COD,O15M,2014,13.42838
7BCEFGHJK,IRL,Landings (t) ,4,31E2,GN1,NONE,COD,O15M,2014,0.12
7BCEFGHJK,ENG,Landings (t) ,4,31E2,GN1,NONE,COD,O15M,2014,0.0175
7BCEFGHJK,IRL,Landings (t) ,4,31E2,GN1,NONE,COD,O10T15M,2014,0.27
7BCEFGHJK,ENG,Landings (t) ,4,31E2,GN1,NONE,COD,O10T15M,2014,0.0389
7BCEFGHJK,IRL,Landings (t) ,4,31E2,BT2,NONE,COD,O15M,2014,7.89
7BCEFGHJK,IRL,Landings (t) ,4,31E1,TR2,NONE,COD,O15M,2014,4.8
7BCEFGHJK,FRA,Landings (t) ,4,31E1,TR2,NONE,COD,O15M,2014,0.00632
7BCEFGHJK,IRL,Landings (t) ,4,31E1,TR2,NONE,COD,O10T15M,2014,0.17
7BCEFGHJK,NIR,Landings (t) ,4,31E1,TR1,NONE,COD,O15M,2014,0.0468
7BCEFGHJK,IRL,Landings (t) ,4,31E1,TR1,NONE,COD,O15M,2014,15.58
7BCEFGHJK,FRA,Landings (t) ,4,31E1,TR1,NONE,COD,O15M,2014,8.1074
7BCEFGHJK,ENG,Landings (t) ,4,31E1,TR1,NONE,COD,O15M,2014,0.0679
7BCEFGHJK,IRL,Landings (t) ,4,31E1,OTTER,NONE,COD,O15M,2014,0.18
7BCEFGHJK,IRL,Landings (t) ,4,31E1,GN1,NONE,COD,O15M,2014,0.16
7BCEFGHJK,IRL,Landings (t) ,4,31E1,GN1,NONE,COD,O10T15M,2014,0.02
7BCEFGHJK,IRL,Landings (t) ,4,31E1,BT2,NONE,COD,O15M,2014,0.18
7BCEFGHJK,IRL,Landings (t) ,4,31E0,TR2,NONE,COD,O15M,2014,0.08
7BCEFGHJK,FRA,Landings (t) ,4,31E0,TR2,NONE,COD,O15M,2014,1.61582
7BCEFGHJK,IRL,Landings (t) ,4,31E0,TR2,NONE,COD,O10T15M,2014,0.44
7BCEFGHJK,IRL,Landings (t) ,4,31E0,TR1,NONE,COD,O15M,2014,7.41
7BCEFGHJK,FRA,Landings (t) ,4,31E0,TR1,NONE,COD,O15M,2014,0.60751
7BCEFGHJK,ENG,Landings (t) ,4,31E0,TR1,NONE,COD,O15M,2014,0.0995
7BCEFGHJK,IRL,Landings (t) ,4,31E0,TR1,NONE,COD,O10T15M,2014,0.88
7BCEFGHJK,IRL,Landings (t) ,4,31E0,GN1,NONE,COD,O15M,2014,0.04
7BCEFGHJK,IRL,Landings (t) ,4,31E0,GN1,NONE,COD,O10T15M,2014,0.09
7BCEFGHJK,IRL,Landings (t) ,4,31E0,BT2,NONE,COD,O15M,2014,0.2
7BCEFGHJK,FRA,Landings (t) ,4,31D9,TR2,NONE,COD,O15M,2014,0.46439
7BCEFGHJK,IRL,Landings (t) ,4,31D9,TR2,NONE,COD,O10T15M,2014,0.12
7BCEFGHJK,IRL,Landings (t) ,4,31D9,TR1,NONE,COD,O15M,2014,1.04
7BCEFGHJK,FRA,Landings (t) ,4,31D9,TR1,NONE,COD,O15M,2014,0.06104
7BCEFGHJK,ENG,Landings (t) ,4,31D9,TR1,NONE,COD,O15M,2014,0.5452
7BCEFGHJK,FRA,Landings (t) ,4,31D9,OTTER,NONE,COD,O15M,2014,0
7BCEFGHJK,FRA,Landings (t) ,4,31D8,TR2,NONE,COD,O15M,2014,0.27435
7BCEFGHJK,IRL,Landings (t) ,4,31D8,TR1,NONE,COD,O15M,2014,0.25
7BCEFGHJK,FRA,Landings (t) ,4,31D8,TR1,NONE,COD,O15M,2014,0.30478
7BCEFGHJK,FRA,Landings (t) ,4,31D8,OTTER,NONE,COD,O15M,2014,0.01843
7BCEFGHJK,ENG,Landings (t) ,4,30E7,TR2,NONE,COD,U10M,2014,1.4988
7BCEFGHJK,FRA,Landings (t) ,4,30E7,TR2,NONE,COD,O15M,2014,0.07235
7BCEFGHJK,ENG,Landings (t) ,4,30E7,TR2,NONE,COD,O10T15M,2014,1.2968
7BCEFGHJK,ENG,Landings (t) ,4,30E7,POTS,NONE,COD,U10M,2014,0.0011
7BCEFGHJK,ENG,Landings (t) ,4,30E7,LL1,NONE,COD,U10M,2014,0.0206
7BCEFGHJK,ENG,Landings (t) ,4,30E7,GN1,NONE,COD,U10M,2014,1.3085
7BCEFGHJK,ENG,Landings (t) ,4,30E7,BT2,NONE,COD,O15M,2014,0.0086
7BCEFGHJK,ENG,Landings (t) ,4,30E6,TR2,NONE,COD,U10M,2014,0.0973
7BCEFGHJK,ENG,Landings (t) ,4,30E6,TR2,NONE,COD,O10T15M,2014,1.9844
7BCEFGHJK,ENG,Landings (t) ,4,30E6,TR1,NONE,COD,U10M,2014,0.0098
7BCEFGHJK,ENG,Landings (t) ,4,30E6,POTS,NONE,COD,U10M,2014,0.0286
7BCEFGHJK,ENG,Landings (t) ,4,30E6,GN1,NONE,COD,U10M,2014,0.2841
7BCEFGHJK,FRA,Landings (t) ,4,30E5,TR2,NONE,COD,O15M,2014,0.00177
7BCEFGHJK,FRA,Landings (t) ,4,30E5,TR1,NONE,COD,O15M,2014,0.0567
7BCEFGHJK,FRA,Landings (t) ,4,30E5,POTS,NONE,COD,U10M,2014,0.1585
7BCEFGHJK,ENG,Landings (t) ,4,30E5,GN1,NONE,COD,U10M,2014,0.0005
7BCEFGHJK,FRA,Landings (t) ,4,30E4,TR2,NONE,COD,O15M,2014,0.05307
7BCEFGHJK,IRL,Landings (t) ,4,30E4,TR1,NONE,COD,O15M,2014,0.04
7BCEFGHJK,FRA,Landings (t) ,4,30E4,TR1,NONE,COD,O15M,2014,3.88139
7BCEFGHJK,FRA,Landings (t) ,4,30E4,PEL_SEINE,NONE,COD,O15M,2014,0.00889
7BCEFGHJK,ENG,Landings (t) ,4,30E4,GN1,NONE,COD,U10M,2014,0.0023
7BCEFGHJK,ENG,Landings (t) ,4,30E4,GN1,NONE,COD,O10T15M,2014,0.023
7BCEFGHJK,BEL,Landings (t) ,4,30E4,BT2,NONE,COD,O15M,2014,0.726
7BCEFGHJK,IRL,Landings (t) ,4,30E3,TR1,NONE,COD,O15M,2014,0.09
7BCEFGHJK,FRA,Landings (t) ,4,30E3,TR1,NONE,COD,O15M,2014,3.82543
7BCEFGHJK,ENG,Landings (t) ,4,30E3,GN1,NONE,COD,O15M,2014,0.2026
7BCEFGHJK,ENG,Landings (t) ,4,30E3,GN1,NONE,COD,O10T15M,2014,0.0184
7BCEFGHJK,IRL,Landings (t) ,4,30E3,BT2,NONE,COD,O15M,2014,4.64
7BCEFGHJK,ENG,Landings (t) ,4,30E3,BT2,NONE,COD,O15M,2014,0.4334
7BCEFGHJK,BEL,Landings (t) ,4,30E3,BT2,NONE,COD,O15M,2014,0.007
7BCEFGHJK,IRL,Landings (t) ,4,30E2,TR1,NONE,COD,O15M,2014,3.09
7BCEFGHJK,FRA,Landings (t) ,4,30E2,TR1,NONE,COD,O15M,2014,16.92246
7BCEFGHJK,ENG,Landings (t) ,4,30E2,GN1,NONE,COD,O15M,2014,0.1485
7BCEFGHJK,ENG,Landings (t) ,4,30E2,GN1,NONE,COD,O10T15M,2014,0.0779
7BCEFGHJK,IRL,Landings (t) ,4,30E2,BT2,NONE,COD,O15M,2014,0.52
7BCEFGHJK,IRL,Landings (t) ,4,30E1,TR1,NONE,COD,O15M,2014,9.69
7BCEFGHJK,FRA,Landings (t) ,4,30E1,TR1,NONE,COD,O15M,2014,5.3636
7BCEFGHJK,IRL,Landings (t) ,4,30E1,GN1,NONE,COD,O15M,2014,1.23
7BCEFGHJK,ENG,Landings (t) ,4,30E1,GN1,NONE,COD,O15M,2014,0.4013
7BCEFGHJK,IRL,Landings (t) ,4,30E1,GN1,NONE,COD,O10T15M,2014,0.2
7BCEFGHJK,ENG,Landings (t) ,4,30E1,GN1,NONE,COD,O10T15M,2014,0.0458
7BCEFGHJK,FRA,Landings (t) ,4,30E0,TR2,NONE,COD,O15M,2014,0.02107
7BCEFGHJK,IRL,Landings (t) ,4,30E0,TR1,NONE,COD,O15M,2014,6.03
7BCEFGHJK,FRA,Landings (t) ,4,30E0,TR1,NONE,COD,O15M,2014,0.66215
7BCEFGHJK,IRL,Landings (t) ,4,30E0,GN1,NONE,COD,O15M,2014,0.07
7BCEFGHJK,IRL,Landings (t) ,4,30E0,GN1,NONE,COD,O10T15M,2014,0.04
7BCEFGHJK,FRA,Landings (t) ,4,30D9,TR2,NONE,COD,O15M,2014,0.07799
7BCEFGHJK,IRL,Landings (t) ,4,30D9,TR1,NONE,COD,O15M,2014,0.18
7BCEFGHJK,FRA,Landings (t) ,4,30D9,TR1,NONE,COD,O15M,2014,0.227
7BCEFGHJK,FRA,Landings (t) ,4,30D9,OTTER,NONE,COD,O15M,2014,0.0005
7BCEFGHJK,IRL,Landings (t) ,4,30D9,GN1,NONE,COD,O15M,2014,0.2
7BCEFGHJK,FRA,Landings (t) ,4,30D8,TR2,NONE,COD,O15M,2014,0.2203
7BCEFGHJK,FRA,Landings (t) ,4,30D8,TR1,NONE,COD,O15M,2014,0.27834
7BCEFGHJK,FRA,Landings (t) ,4,30D8,PEL_TRAWL,NONE,COD,O15M,2014,0.00058
7BCEFGHJK,FRA,Landings (t) ,4,30D8,OTTER,NONE,COD,O15M,2014,0.01975
7BCEFGHJK,ENG,Landings (t) ,4,29E7,TR2,NONE,COD,U10M,2014,0.185
7BCEFGHJK,FRA,Landings (t) ,4,29E7,TR2,NONE,COD,O15M,2014,3.32914
7BCEFGHJK,ENG,Landings (t) ,4,29E7,TR2,NONE,COD,O10T15M,2014,0.3524
7BCEFGHJK,FRA,Landings (t) ,4,29E7,PEL_TRAWL,NONE,COD,O15M,2014,0.54453
7BCEFGHJK,ENG,Landings (t) ,4,29E7,OTTER,NONE,COD,U10M,2014,0.0188
7BCEFGHJK,ENG,Landings (t) ,4,29E7,GN1,NONE,COD,U10M,2014,0.0213
7BCEFGHJK,ENG,Landings (t) ,4,29E7,BT2,NONE,COD,O15M,2014,0.4328
7BCEFGHJK,BEL,Landings (t) ,4,29E7,BT2,NONE,COD,O15M,2014,0.049
7BCEFGHJK,ENG,Landings (t) ,4,29E6,TR2,NONE,COD,U10M,2014,4.988
7BCEFGHJK,FRA,Landings (t) ,4,29E6,TR2,NONE,COD,O15M,2014,0.30033
7BCEFGHJK,BEL,Landings (t) ,4,29E6,TR2,NONE,COD,O15M,2014,0.011
7BCEFGHJK,ENG,Landings (t) ,4,29E6,TR2,NONE,COD,O10T15M,2014,6.6219
7BCEFGHJK,ENG,Landings (t) ,4,29E6,TR1,NONE,COD,U10M,2014,0.0321
7BCEFGHJK,FRA,Landings (t) ,4,29E6,TR1,NONE,COD,O15M,2014,0.00211
7BCEFGHJK,ENG,Landings (t) ,4,29E6,POTS,NONE,COD,U10M,2014,0.0398
7BCEFGHJK,FRA,Landings (t) ,4,29E6,PEL_TRAWL,NONE,COD,O15M,2014,0.12017
7BCEFGHJK,ENG,Landings (t) ,4,29E6,PEL_TRAWL,NONE,COD,O10T15M,2014,0.0014
7BCEFGHJK,FRA,Landings (t) ,4,29E6,PEL_SEINE,NONE,COD,O15M,2014,0.00128
7BCEFGHJK,ENG,Landings (t) ,4,29E6,OTTER,NONE,COD,O10T15M,2014,0.0162
7BCEFGHJK,ENG,Landings (t) ,4,29E6,LL1,NONE,COD,U10M,2014,0.0566
7BCEFGHJK,ENG,Landings (t) ,4,29E6,GN1,NONE,COD,U10M,2014,0.5691
7BCEFGHJK,ENG,Landings (t) ,4,29E6,DREDGE,NONE,COD,O15M,2014,0.0006
7BCEFGHJK,ENG,Landings (t) ,4,29E6,BT2,NONE,COD,O15M,2014,1.3412
7BCEFGHJK,BEL,Landings (t) ,4,29E6,BT2,NONE,COD,O15M,2014,0.006
7BCEFGHJK,ENG,Landings (t) ,4,29E6,BT2,NONE,COD,O10T15M,2014,0.0812
